timestamp, humidity, temperature, moisture
08:31:27.127, h=37.1,t=20.6,moisture0=463.0
08:31:29.104, h=37.3,t=20.6,moisture0=475.0
08:31:31.119, h=37.3,t=20.6,moisture0=464.0
08:31:33.129, h=37.2,t=20.6,moisture0=469.0
08:31:35.112, h=37.2,t=20.6,moisture0=464.0
08:31:37.114, h=37.2,t=20.6,moisture0=474.0
08:31:39.120, h=37.2,t=20.6,moisture0=471.0
08:31:41.138, h=37.1,t=20.6,moisture0=466.0
08:31:43.147, h=37.1,t=20.6,moisture0=469.0
08:31:45.155, h=37.1,t=20.6,moisture0=464.0
08:31:47.133, h=37.1,t=20.6,moisture0=470.0
08:31:49.148, h=37.1,t=20.6,moisture0=462.0
08:31:51.155, h=37.1,t=20.6,moisture0=474.0
08:31:53.164, h=37.0,t=20.6,moisture0=466.0
08:31:55.173, h=37.0,t=20.6,moisture0=467.0
08:31:57.148, h=37.0,t=20.6,moisture0=468.0
08:31:59.156, h=37.0,t=20.6,moisture0=467.0
08:32:01.168, h=37.0,t=20.6,moisture0=464.0
08:32:03.172, h=37.0,t=20.6,moisture0=474.0
08:32:05.184, h=37.0,t=20.6,moisture0=464.0
08:32:07.161, h=37.0,t=20.6,moisture0=464.0
08:32:09.173, h=37.0,t=20.6,moisture0=474.0
08:32:11.178, h=37.0,t=20.6,moisture0=470.0
08:32:13.191, h=37.0,t=20.6,moisture0=466.0
08:32:15.188, h=37.0,t=20.6,moisture0=465.0
08:32:17.196, h=37.1,t=20.6,moisture0=467.0
08:32:19.206, h=37.1,t=20.6,moisture0=471.0
08:32:21.184, h=37.1,t=20.6,moisture0=474.0
08:32:23.194, h=37.1,t=20.6,moisture0=465.0
08:32:25.211, h=37.1,t=20.6,moisture0=469.0
08:32:27.222, h=37.1,t=20.6,moisture0=467.0
08:32:29.199, h=37.0,t=20.6,moisture0=466.0
08:32:31.214, h=37.0,t=20.6,moisture0=475.0
08:32:33.225, h=37.0,t=20.6,moisture0=473.0
08:32:35.199, h=37.0,t=20.6,moisture0=477.0
08:32:37.212, h=36.9,t=20.6,moisture0=474.0
08:32:39.229, h=36.9,t=20.6,moisture0=467.0
08:32:41.238, h=36.9,t=20.6,moisture0=469.0
08:32:43.213, h=36.9,t=20.6,moisture0=477.0
08:32:45.223, h=36.9,t=20.6,moisture0=465.0
08:32:47.221, h=36.9,t=20.6,moisture0=474.0
08:32:49.229, h=36.9,t=20.6,moisture0=466.0
08:32:51.244, h=36.9,t=20.6,moisture0=461.0
08:32:53.250, h=36.8,t=20.6,moisture0=466.0
08:32:55.231, h=36.8,t=20.6,moisture0=477.0
08:32:57.246, h=36.8,t=20.6,moisture0=485.0
08:32:59.252, h=36.8,t=20.6,moisture0=477.0
08:33:01.258, h=36.8,t=20.6,moisture0=467.0
08:33:03.271, h=36.8,t=20.6,moisture0=476.0
08:33:05.249, h=36.8,t=20.6,moisture0=474.0
08:33:07.261, h=36.8,t=20.6,moisture0=480.0
08:33:09.267, h=36.8,t=20.6,moisture0=475.0
08:33:11.273, h=36.8,t=20.6,moisture0=475.0
08:33:13.288, h=36.9,t=20.6,moisture0=479.0
08:33:15.263, h=36.9,t=20.6,moisture0=478.0
08:33:17.277, h=36.9,t=20.6,moisture0=467.0
08:32:19.206, h=37.1,t=20.6,moisture0=471.0
08:32:21.184, h=37.1,t=20.6,moisture0=474.0
08:32:23.194, h=37.1,t=20.6,moisture0=465.0
08:32:25.211, h=37.1,t=20.6,moisture0=469.0
08:32:27.222, h=37.1,t=20.6,moisture0=467.0
08:32:29.199, h=37.0,t=20.6,moisture0=466.0
08:32:31.214, h=37.0,t=20.6,moisture0=475.0
08:32:33.225, h=37.0,t=20.6,moisture0=473.0
08:32:35.199, h=37.0,t=20.6,moisture0=477.0
08:32:37.212, h=36.9,t=20.6,moisture0=474.0
08:32:39.229, h=36.9,t=20.6,moisture0=467.0
08:32:41.238, h=36.9,t=20.6,moisture0=469.0
08:32:43.213, h=36.9,t=20.6,moisture0=477.0
08:32:45.223, h=36.9,t=20.6,moisture0=465.0
08:32:47.221, h=36.9,t=20.6
